codigo,horas_semanales,horas_semanales_profe,horas_semanales_grupo,grupo,profesor,materia,aula,1,2,3,4,5,6,fecha_inicio,fecha_final,7,8,9,aula_propia,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
3059,1,1,1,"CAS A","110","73","21",,23,1.00000,,,,"20160706","20170630",0.00520,,,"21",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3059,1,1,0,"CAS B","110","73","21",,23,1.00000,,,,"20160706","20170630",0.00520,,,"21",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3059,1,0,1,"CAS A","11","402","25",,0,1.00000,,,,"20160706","20170630",0.00520,,,"25",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3059,1,0,0,"CAS B","11","402","25",,0,1.00000,,,,"20160706","20170630",0.00520,,,"25",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3059,1,0,1,"CAS A","03","71","28",,0,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3059,1,0,0,"CAS B","03","71","28",,0,1.00000,,,,"20160706","20170630",0.00520,,,"28",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3061,4,4,4,"2ADI","04","587","30",,0,4.00000,,,,"20160706","20170630",0.02080,,,"30",,,,"nX",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,
3086,3,3,3,"2GAD","07","67","32",,25,3.00000,,,,"20160706","20170630",0.01560,,,"32",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3070,1,1,1,"2AF","16","82","31",,8,1.00000,,,,"20160706","20170630",0.00520,,,"31",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3070,1,0,1,"2AF","15","82","33",,0,1.00000,,,,"20160706","20170630",0.00520,,,"33",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3070,1,0,1,"2AF","21","82","31",,0,1.00000,,,,"20160706","20170630",0.00520,,,"31",,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3069,3,3,3,"2AF","16","78","31",,8,3.00000,,,,"20160706","20170630",0.01560,,,"31",,,,"nX",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3069,3,0,3,"2AF","15","78","33",,0,3.00000,,,,"20160706","20170630",0.01560,,,"33",,,,"nX",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3069,3,0,3,"2AF","21","78","31",,0,3.00000,,,,"20160706","20170630",0.01560,,,"31",,,,"nX",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3068,2,2,2,"2AF","15","81","31",,8,2.00000,,,,"20160706","20170630",0.01040,,,"31",,,,"nX",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3068,2,0,2,"2AF","16","81","33",,0,2.00000,,,,"20160706","20170630",0.01040,,,"33",,,,"nX",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3068,2,0,2,"2AF","21","81","31",,0,2.00000,,,,"20160706","20170630",0.01040,,,"31",,,,"nX",,,,,,,,,,0,0,,,,,200000,2.00000,,,
