codigo,nombre,1,2,aula,4,5,6,7,8,9,10,11,12,13,codigo_estudio,estudio,14,15,16,nombre_corto,18
"273","2n DAM-M8 - Programació multimèdia i dispositius mòbils",,,,,0,14,0,14,"D",,,,1.00000,"DAM","Desenvolupament d'aplicacions multiplataforma",,,,"M 8",
"274","2n DAM-M9 - Programació de serveis i processos",,,,,,,0,14,,,"DAM",,1.00000,"DAM","Desenvolupament d'aplicacions multiplataforma",,,,"M 9",
"294","2n DAM-M10 - Sistemes de gestió empresarial",,,,,,,0,14,,,"1.00000",,1.00000,"DAM","Desenvolupament d'aplicacions multiplataforma",,,,"M 10",
"268","1r ASIX-M2 - Gestió de base de dades",,,,,,,0,14,,,"14",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 2",
"271","1r ASIX-M10 - Administració de sistemes de gestió de base de dades",,"0",,,99,99,0,14,,,,,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 10",
"282","2n ASIX-M1 - Implementació de sistemes operatius",,,,,,,0,14,,,"ASIX",,1.00000,"ASIX","Administració de sistemes i implementació en xarxes",,,,"M 1",
"559","1r ACO-M1 - Dinamització del punt de venda",,,,,,,0,14,,,"1.00000",,1.00000,"ACO","Activitats comercials",,,,"M 1",
"561","1r ACO-M3 - Gestió d'un petit comerç",,,,,,,0,14,,,"14",,1.00000,"ACO","Activitats comercials",,,,"M 3",
"562","1r ACO-M4 - Processos de venda",,,,,,,0,14,,,"0",,1.00000,"ACO","Activitats comercials",0,16777215,,"M 4",
"564","1r ACO-M6 - Tècniques de magatzem",,,,,,,0,14,,,"0",,1.00000,"ACO","Activitats comercials",0,16777215,,"M 6",
"567","1r ACO-M9 - Aplicacions informàtiques pel comerç",,,,,,,0,14,,,"ACO",,1.00000,"ACO","Activitats comercials",,,,"M 9",
"569","1r ACO-M11 - Màrqueting en l'activitat comercial",,,,,,,0,14,,,"ACO",,1.00000,"ACO","Activitats comercials",,,,"M 11",
"560","2n ACO-M2 - Gestió de compres",,,,,,,0,14,,,,,1.00000,"ACO","Activitats comercials",0,16777215,,"M 2",
"563","2n ACO-M5 - Serveis d'atenció comercial",,,,,,,0,14,,,,,1.00000,"ACO","Activitats comercials",,,,"M 5",
"565","2n ACO-M7 - Venda tècnica",,,,,,,0,14,,,,,1.00000,"ACO","Activitats comercials",0,16777215,,"M 7",
"566","2n ACO-M8 - Àngles",,,,,,,0,14,,,,,1.00000,"ACO","Activitats comercials",0,16777215,,"M 8",
"568","2n ACO-M10 - Comerç electrònic",,,,,,,0,14,,,"0",,1.00000,"ACO","Activitats comercials",0,16777215,,"M 10",
"580","2n ADI-M6 - Àngles",,,,,,,0,14,,,,,1.00000,"ADI","Assistència a la direcció",0,16777215,,"M 6",
"587","2n ADI-M7 - Segona llengua estrangera",,,,,,,0,14,,,"14",,1.00000,"ADI","Assistència a la direcció",,,,"M 7",
"588","2n ADI-M8 - Protocol empresarial",,,,,,,0,14,,,"0",,1.00000,"ADI","Assistència a la direcció",,,,"M 8",
"589","2n ADI-M9 - Organització d'esdeveniments empresarials",,,,,,,0,14,,,"Assistència a la direcció",,1.00000,"ADI","Assistència a la direcció",,,,"M 9",
"590","2n ADI-M10 - Gestió avanzada de la informació",,,,,,,0,14,,,"1.00000",,1.00000,"ADI","Assistència a la direcció",,,,"M 10",
"237","1r PM-M1 - Interpretació i representació gràfica",,,,,,,0,14,,,"Programació de la producció en fabricació mecànica",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 1",
"238","1r PM-M2 - Definició de processos de mecanització, conformat i muntatge","0",,,,0,,0,14,,,,,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 2",
"239","1r PM-M3 - Mecanització per control numèric",,,,,,,0,14,,,"1.00000 P",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 3",
"241","1r PM-M6 - Programació de la producció",,,,,,,0,14,,,,,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 6",
"242","1r PM-M7 - Execució de processos de fabricació",,,,,,,0,14,,,"Programació de la producció en fabricació mecànica",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 7",
"491","1r PM-M8 - Materials",,,,,,,0,14,,,,,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 8",
"243","1r PM-M10 - Verificació de productes",,,,,,,0,14,,,"14",,1.00000,"PM","Programació de la producció en fabricació mecànica",6,16777215,,"M 10",
"492","1r PM-M11 - Formació i orientació laboral",,,,,,,0,14,,,,,1.00000,"PM","Programació de la producció en fabricació mecànica",11,16777215,,"M 11",
"249","2n PM-M1 - Interpretació i representació gràfica",,,,,,,0,14,,,"Programació de la producció en fabricació mecànica",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 1",
"250","2n PM-M3 - Mecanització per control numèric",,,,,,,0,14,,,"1.00000 P",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 3",
"244","2n PM-M4 - Fabricació assistida per ordinador",,,,,,,0,14,,,"1.00000 P",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 4",
"245","2n PM-M5 - Programació de sistemes automàtics",,,,,,,0,14,,,"1.00000 P",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 5",
"248","2n PM-M6 - Programació de la producció",,,,,,,0,14,,,,,1.00000,"PM","Programació de la producció en fabricació mecànica",6,16777215,,"M 6",
"246","2n PM-M7 - Execució de processos de fabricació",,,,,,,0,14,,,"Programació de la producció en fabricació mecànica",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 7",
"247","2n PM-M9 - Gestió de la qualitat, prevenció de riscos laborals",,,,,,99,0,14,,,,,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 9",
"494","2n PM-M12 - Empresa i iniciativa emprenedora",,,,,,,0,14,,,"1.00000 P",,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 12",
"525","2n PM-M16 (DUAL) - Mòdul dual en programació de la producció en fabricació mecànica",,"0",,,99,99,0,14,,,,,1.00000,"PM","Programació de la producció en fabricació mecànica",,,,"M 16",
