clase,grupo,profesor,materia,aula,dia,hora,duracion
3224,"1IEA","35","432","TE 1",2,4,,
3224,"1IEA","37","432","TE 4",1,5,,
3224,"1IEA","37","432","TE 4",1,6,,
3224,"1IEA","37","432","TE 4",2,3,,
3224,"1IEA","37","432","TE 4",2,4,,
3225,"1IEA","36","430","TE 1",1,1,,
3225,"1IEA","36","430","TE 1",1,2,,
3225,"1IEA","36","430","TE 1",1,3,,
3225,"1IEA","36","430","TE 1",3,1,,
3225,"1IEA","36","430","TE 1",3,2,,
3225,"1IEA","36","430","TE 1",5,1,,
3225,"1IEA","36","430","TE 1",5,2,,
3225,"1IEA","36","430","TE 1",5,3,,
3225,"1IEA","29","430","AL 2",1,1,,
3225,"1IEA","29","430","AL 2",1,2,,
3225,"1IEA","29","430","AL 2",1,3,,
3225,"1IEA","29","430","AL 2",3,1,,
3225,"1IEA","29","430","AL 2",3,2,,
3225,"1IEA","29","430","AL 2",5,1,,
3225,"1IEA","29","430","AL 2",5,2,,
3225,"1IEA","29","430","AL 2",5,3,,
3226,"1IEA","33","395","AL 1",2,5,,
3226,"1IEA","33","395","AL 1",2,6,,
3226,"1IEA","31","395","TE 3",2,5,,
3226,"1IEA","31","395","TE 3",2,6,,
3227,"1IEA","33","395","AL 1",5,4,,
3227,"1IEA","33","395","AL 1",5,5,,
3227,"1IEA","31","395","TE 4",5,4,,
3227,"1IEA","31","395","TE 4",5,5,,
3228,"1IEA","32","393","TE 2",1,4,,
3228,"1IEA","28","393","AL 2",1,4,,
3229,"1IEA","32","393","E13",5,6,,
3230,"1IEA","31","394","TE 3",3,3,,
3230,"1IEA","31","394","TE 3",3,4,,
3231,"1IEA","29","392","E13",2,1,,
3231,"1IEA","29","392","E13",2,2,,
3231,"1IEA","29","392","16",4,1,,
3231,"1IEA","29","392","16",4,2,,
3231,"1IEA","29","392","16",4,3,,
3232,"2IEA","12","201","B1",3,8,,
3232,"2IEA","12","201","B1",3,9,,
3233,"2IEA","35","398","TE 3",5,9,,
3233,"2IEA","35","398","TE 3",5,10,,
3233,"2IEA","35","398","TE 3",5,11,,
3234,"2IEA","114","401","E13",4,9,,
3234,"2IEA","114","401","E13",4,10,,
3234,"2IEA","114","401","E13",4,11,,
3235,"2IEA","32","397","TE 2",2,7,,
3235,"2IEA","32","397","TE 2",2,8,,
3235,"2IEA","32","397","TE 2",2,9,,
3236,"2IEA","37","399","TE 4",1,7,,
3236,"2IEA","37","399","TE 4",1,8,,
3236,"2IEA","37","399","TE 4",1,9,,
3237,"2IEA","36","425","TE 1",1,10,,
3237,"2IEA","36","425","TE 1",1,11,,
3238,"2IEA","114","425","TE 3",3,10,,
3238,"2IEA","114","425","TE 3",3,11,,
3239,"2IEA","36","427","E13",4,7,,
3239,"2IEA","36","427","E13",4,8,,
3240,"IT","28","630","AL 2",2,2,,
3240,"IT","28","630","AL 2",2,3,,
3240,"IT","28","630","AL 2",2,4,,
3240,"IT","28","630","AL 2",4,4,,
3241,"IT","115","630","AL 1",1,3,,
3241,"IT","115","630","AL 1",1,4,,
3242,"IT","33","631","E13",3,3,,
3242,"IT","33","631","E13",3,4,,
3242,"IT","33","631","AL 1",5,2,,
3242,"IT","33","631","AL 1",5,3,,
3243,"IT","32","632","TE 2",4,5,,
3243,"IT","32","632","TE 2",4,6,,
3243,"IT","32","632","TE 2",5,4,,
3243,"IT","32","632","TE 2",5,5,,
3244,"IT","32","633","E13",1,5,,
3244,"IT","32","633","E13",1,6,,
3244,"IT","32","633","E13",4,2,,
3244,"IT","32","633","E13",4,3,,
3245,"IT","115","634","AL 2",2,5,,
3245,"IT","115","634","AL 2",2,6,,
3246,"IT","33","634","AL 1",3,2,,
3247,"IT","115","636","AL 1",1,1,,
3247,"IT","115","636","AL 1",1,2,,
3248,"1ARI","35","378","TE 3",4,3,,
3248,"1ARI","35","378","TE 3",4,4,,
3249,"1ARI","37","378","TE 4",2,1,,
3249,"1ARI","37","378","TE 4",2,2,,
3250,"1ARI","35","380","TE 3",4,1,,
3250,"1ARI","35","380","TE 3",4,2,,
3251,"1ARI","37","380","TE 4",3,1,,
3251,"1ARI","37","380","TE 4",3,2,,
3252,"1ARI","30","381","E13",1,3,,
3252,"1ARI","30","381","E13",1,4,,
3252,"1ARI","30","381","E13",2,3,,
3252,"1ARI","30","381","E13",2,4,,
3253,"1ARI","37","383","TE 3",5,2,,
3253,"1ARI","37","383","TE 3",5,3,,
3254,"1ARI","35","383","TE 4",3,3,,
3254,"1ARI","35","383","TE 4",3,4,,
3255,"1ARI","29","379","E13",5,4,,
3255,"1ARI","29","379","E13",5,5,,
3256,"1ARI","28","655","E13",2,5,,
3257,"1ARI","28","382","E13",4,5,,
3258,"1ARI","30","382","E13",1,1,,
3258,"1ARI","30","382","E13",1,2,,
3259,"2ARI","30","396","E13",3,11,,
3259,"2ARI","30","396","E13",3,12,,
3260,"2ARI","37","403","TE 3",4,9,,
3260,"2ARI","37","403","TE 3",4,10,,
3260,"2ARI","37","403","TE 3",4,11,,
3261,"2ARI","28","405","E13",3,9,,
3261,"2ARI","28","405","E13",3,10,,
3262,"2ARI","33","405","TE 3",2,9,,
3263,"2ARI","31","412","TE 3",1,11,,
3263,"2ARI","31","412","TE 3",2,10,,
3263,"2ARI","31","412","TE 3",2,11,,
3264,"2ARI","31","412","TE 3",1,10,,
3266,"2ARI","31","414","TE 3",1,9,,
3267,"2ARI","35","414","TE 3",5,7,,
3268,"2ARI","35","658","TE 3",5,8,,
3269,"2ARI","33","659","TE 3",4,7,,
3270,"2ARI","35","660","TE 3",3,8,,
3271,"2ARI","31","661","TE 3",2,7,,
3272,"2ARI","33","396","TE 3",4,8,,
3273,"2ARI","33","405","TE 3",2,8,,
3274,"2ARI","31","412","TE 3",1,7,,
3274,"2ARI","31","412","TE 3",1,8,,
3275,"1EE","32","672","E12",3,3,,
3275,"1EE","32","672","E12",3,4,,
3275,"1EE","32","672","E12",4,4,,
3276,"1EE","48","673","E12",4,5,,
3276,"1EE","48","673","E12",4,6,,
3277,"1EE","47","674","E12",2,5,,
3277,"1EE","47","674","E12",2,6,,
3277,"1EE","47","674","E12",3,1,,
3277,"1EE","47","674","E12",3,2,,
3277,"1EE","47","674","E12",5,4,,
3277,"1EE","47","674","E12",5,5,,
3278,"1EE","116","675","E12",2,3,,
3278,"1EE","116","675","E12",2,4,,
3279,"1EE","29","675","E12",1,4,,
3280,"1EE","34","676","E12",1,1,,
3280,"1EE","34","676","E12",1,2,,
3280,"1EE","34","676","E12",1,3,,
3280,"1EE","34","676","E12",4,1,,
3280,"1EE","34","676","E12",4,2,,
3280,"1EE","34","676","E12",4,3,,
3281,"1EE","30","677","E12",2,1,,
3281,"1EE","30","677","E12",2,2,,
3282,"1EE","34","679","E12",5,1,,
3282,"1EE","34","679","E12",5,2,,
3282,"1EE","34","679","E12",5,3,,
3283,"2EE","34","680","E12",3,8,,
3283,"2EE","34","680","E12",3,9,,
3284,"2EE","116","681","E12",5,7,,
3284,"2EE","116","681","E12",5,8,,
3285,"2EE","47","682","E12",1,10,,
3285,"2EE","47","682","E12",1,11,,
3285,"2EE","47","682","E12",1,12,,
3285,"2EE","47","682","E12",4,10,,
3285,"2EE","47","682","E12",4,11,,
3285,"2EE","47","682","E12",4,12,,
3286,"2EE","33","683","E12",1,7,,
3286,"2EE","33","683","E12",1,8,,
3286,"2EE","33","683","E12",1,9,,
3287,"2EE","116","683","E12",4,7,,
3287,"2EE","116","683","E12",4,8,,
3287,"2EE","116","683","E12",4,9,,
3288,"2EE","116","684","E12",2,7,,
3288,"2EE","116","684","E12",2,8,,
3288,"2EE","116","684","E12",2,9,,
3289,"2EE","34","686","E12",2,10,,
3289,"2EE","34","686","E12",2,11,,
3289,"2EE","34","686","E12",3,10,,
3290,"CAIA","60","114","27",2,3,,
3290,"CAIA","60","114","27",5,4,,
3291,"CAIA","100","116","27",1,2,,
3291,"CAIA","100","116","27",3,4,,
3292,"CAIA","100","115","18",1,3,,
3292,"CAIA","100","115","18",1,4,,
3292,"CAIA","101","115","12",1,3,,
3292,"CAIA","101","115","12",1,4,,
3293,"CAIA","79","13","12",1,5,,
3293,"CAIA","79","13","12",1,6,,
3293,"CAIA","79","13","12",2,4,,
3293,"CAIA","79","13","12",2,5,,
3293,"CAIA","79","13","12",2,6,,
3293,"CAIA","79","13","16",3,1,,
3293,"CAIA","79","13","12",4,1,,
3293,"CAIA","79","13","12",4,2,,
3293,"CAIA","102","13","18",1,5,,
3293,"CAIA","102","13","18",1,6,,
3293,"CAIA","102","13","18",2,4,,
3293,"CAIA","102","13","18",2,5,,
3293,"CAIA","102","13","18",2,6,,
3293,"CAIA","102","13","17",3,1,,
3293,"CAIA","102","13","18",4,1,,
3293,"CAIA","102","13","18",4,2,,
3294,"CAIA","73","125","12",5,1,,
3295,"CAIA","80","14","12",3,3,,
3295,"CAIA","80","14","12",5,5,,
3295,"CAIA","80","14","12",5,6,,
3295,"CAIA","79","14","18",3,3,,
3295,"CAIA","79","14","18",5,5,,
3295,"CAIA","79","14","18",5,6,,
3296,"CAIA","60","198","27",4,5,,
3296,"CAIA","60","198","27",4,6,,
3297,"CAIA","60","121","27",4,4,,
3299,"CAIA","101","126","27",1,1,,
3299,"CAIA","101","126","27",2,2,,
3298,"CAIA","101","126","27",2,1,,
3298,"CAIA","102","126","26",2,1,,
3300,"CAIB","60","114","26",2,5,,
3300,"CAIB","60","114","26",5,5,,
3301,"CAIB","100","116","26",2,4,,
3301,"CAIB","100","116","27",3,3,,
3302,"CAIB","100","115","12",2,2,,
3302,"CAIB","100","115","12",2,3,,
3302,"CAIB","102","115","18",2,2,,
3302,"CAIB","102","115","18",2,3,,
3519,"CAIB","73","13","12",4,4,,
3519,"CAIB","73","13","12",4,5,,
3519,"CAIB","73","13","12",4,6,,
3519,"CAIB","75","13","18",4,4,,
3519,"CAIB","75","13","18",4,5,,
3519,"CAIB","75","13","18",4,6,,
3303,"CAIB","73","13","12",1,1,,
3303,"CAIB","73","13","12",2,1,,
3303,"CAIB","73","13","12",3,1,,
3303,"CAIB","73","13","12",3,2,,
3303,"CAIB","73","13","12",5,2,,
3303,"CAIB","75","13","18",1,1,,
3303,"CAIB","75","13","18",2,1,,
3303,"CAIB","75","13","18",3,1,,
3303,"CAIB","75","13","18",3,2,,
3303,"CAIB","75","13","18",5,2,,
3304,"CAIB","101","125","26",2,6,,
3306,"CAIB","60","198","18",4,3,,
3306,"CAIB","60","198","18",5,1,,
3305,"CAIB","80","14","12",3,4,,
3305,"CAIB","80","14","12",5,3,,
3305,"CAIB","80","14","12",5,4,,
3305,"CAIB","110","14","18",3,4,,
3305,"CAIB","110","14","18",5,3,,
3305,"CAIB","110","14","18",5,4,,
3307,"CAIB","110","121","26",5,6,,
3309,"CAIB","80","126","26",1,5,,
3309,"CAIB","80","126","26",1,6,,
3308,"CAIB","80","126","12",1,2,,
3308,"CAIB","102","126","18",1,2,,
3310,"CAIC","61","114","12",1,12,,
3311,"CAIC","78","116","12",3,8,,
3311,"CAIC","78","116","12",4,12,,
3312,"CAIC","77","115","12",2,7,,
3312,"CAIC","77","115","12",2,8,,
3313,"CAIC","77","13","12",1,7,,
3313,"CAIC","77","13","12",1,8,,
3313,"CAIC","77","13","12",1,9,,
3313,"CAIC","77","13","12",1,10,,
3313,"CAIC","77","13","12",2,9,,
3313,"CAIC","77","13","12",2,10,,
3313,"CAIC","77","13","12",2,11,,
3313,"CAIC","77","13","12",2,12,,
3315,"CAIC","78","125","12",4,11,,
3316,"CAIC","100","14","12",3,10,,
3316,"CAIC","100","14","12",5,7,,
3316,"CAIC","100","14","12",5,8,,
3317,"CAIC","61","198","12",1,11,,
3318,"CAIC","61","121","12",3,9,,
3319,"CAIC","100","126","12",3,11,,
3319,"CAIC","100","126","12",3,12,,
3319,"CAIC","100","126","12",5,9,,
3320,"CAIC","61","114","19",4,7,,
3321,"CAIC","61","198","12",4,8,,
3323,"1FAR","64","155","14",1,5,,
3323,"1FAR","64","155","14",2,1,,
3323,"1FAR","64","155","14",2,2,,
3322,"1FAR","64","155","14",4,3,,
3322,"1FAR","64","155","14",4,4,,
3322,"1FAR","99","155","E2",4,3,,
3322,"1FAR","99","155","19",4,4,,
3324,"1FAR","70","156","14",3,3,,
3324,"1FAR","70","156","14",3,4,,
3324,"1FAR","70","156","14",5,2,,
3324,"1FAR","70","156","14",5,3,,
3324,"1FAR","72","156","19",3,3,,
3324,"1FAR","72","156","19",3,4,,
3324,"1FAR","72","156","19",5,2,,
3324,"1FAR","72","156","19",5,3,,
3325,"1FAR","68","156","14",4,5,,
3325,"1FAR","68","156","14",4,6,,
3325,"1FAR","71","156","19",4,5,,
3325,"1FAR","71","156","19",4,6,,
3326,"1FAR","69","157","14",1,1,,
3326,"1FAR","69","157","14",1,2,,
3326,"1FAR","69","157","14",1,3,,
3326,"1FAR","69","157","14",2,5,,
3326,"1FAR","69","157","14",2,6,,
3326,"1FAR","69","157","14",3,1,,
3326,"1FAR","69","157","14",3,2,,
3326,"1FAR","70","157","19",1,1,,
3326,"1FAR","70","157","19",1,2,,
3326,"1FAR","70","157","19",1,3,,
3326,"1FAR","70","157","19",2,5,,
3326,"1FAR","70","157","19",2,6,,
3326,"1FAR","70","157","19",3,1,,
3326,"1FAR","70","157","19",3,2,,
3327,"1FAR","68","158","13",2,3,,
3327,"1FAR","69","158","14",2,3,,
3328,"1FAR","68","158","13",5,4,,
3328,"1FAR","68","158","13",5,5,,
3328,"1FAR","68","158","13",5,6,,
3328,"1FAR","71","158","14",5,4,,
3328,"1FAR","71","158","14",5,5,,
3328,"1FAR","71","158","14",5,6,,
3329,"1FAR","64","159","27",1,4,,
3329,"1FAR","64","159","27",2,4,,
3329,"1FAR","64","159","27",4,1,,
3329,"1FAR","64","159","27",4,2,,
3330,"2FAR","72","161","14",1,11,,
3330,"2FAR","72","161","14",3,10,,
3330,"2FAR","72","161","14",3,11,,
3330,"2FAR","72","161","14",4,9,,
3330,"2FAR","68","161","13",1,11,,
3330,"2FAR","68","161","13",3,10,,
3330,"2FAR","68","161","13",3,11,,
3330,"2FAR","68","161","13",4,9,,
3331,"2FAR","72","164","14",4,10,,
3331,"2FAR","72","164","14",4,11,,
3333,"2FAR","71","160","34",1,9,,
3333,"2FAR","71","160","34",2,10,,
3333,"2FAR","109","160","14",1,9,,
3333,"2FAR","109","160","14",2,10,,
3332,"2FAR","71","163","14",5,9,,
3332,"2FAR","71","163","14",5,10,,
3332,"2FAR","109","163","13",5,9,,
3332,"2FAR","109","163","13",5,10,,
3334,"2FAR","72","165","33",1,10,,
3334,"2FAR","66","165","14",1,10,,
3335,"2FAR","71","165","E2",2,7,,
3336,"2FAR","65","162","16",1,7,,
3336,"2FAR","65","162","16",1,8,,
3336,"2FAR","65","162","13",4,7,,
3336,"2FAR","65","162","13",4,8,,
3336,"2FAR","63","162","14",1,7,,
3336,"2FAR","63","162","14",1,8,,
3336,"2FAR","63","162","14",4,7,,
3336,"2FAR","63","162","14",4,8,,
3337,"1ES","54","147","ES",1,6,,
3338,"1ES","50","147","ES",1,5,,
3340,"1ES","74","139","ES",1,1,,
3339,"1ES","74","139","ES",1,2,,
3339,"1ES","74","139","ES",1,3,,
3339,"1ES","74","139","ES",4,4,,
3339,"1ES","81","139","ES",1,2,,
3339,"1ES","81","139","ES",1,3,,
3339,"1ES","81","139","ES",4,4,,
3341,"1ES","74","141","ES",2,1,,
3341,"1ES","74","141","ES",2,2,,
3341,"1ES","74","141","ES",4,5,,
3341,"1ES","74","141","ES",4,6,,
3341,"1ES","81","141","ES",2,1,,
3341,"1ES","81","141","ES",2,2,,
3341,"1ES","81","141","ES",4,5,,
3341,"1ES","81","141","ES",4,6,,
3342,"1ES","74","142","ES",2,5,,
3342,"1ES","74","142","ES",3,1,,
3342,"1ES","74","142","ES",3,2,,
3342,"1ES","74","142","ES",4,3,,
3342,"1ES","74","142","ES",5,1,,
3342,"1ES","74","142","ES",5,2,,
3342,"1ES","81","142","ES",2,5,,
3342,"1ES","81","142","ES",3,1,,
3342,"1ES","81","142","ES",3,2,,
3342,"1ES","81","142","ES",4,3,,
3342,"1ES","81","142","ES",5,1,,
3342,"1ES","81","142","ES",5,2,,
3343,"1ES","60","143","ES",2,6,,
3345,"1ES","60","143","19",1,4,,
3348,"1ES","74","145","ES",3,3,,
3348,"1ES","60","145","E2",3,3,,
3347,"1ES","74","145","ES",2,4,,
3347,"1ES","60","145","ES",2,4,,
3349,"1ES","99","146","ES",4,1,,
3349,"1ES","99","146","ES",4,2,,
3349,"1ES","99","146","ES",5,3,,
3349,"1ES","99","146","ES",5,4,,
3350,"2ES","67","148","19",4,8,,
3350,"2ES","67","148","19",4,9,,
3350,"2ES","67","148","19",4,10,,
3351,"2ES","61","150","ES",2,7,,
3351,"2ES","61","150","ES",2,8,,
3351,"2ES","61","150","ES",2,9,,
3351,"2ES","61","150","ES",3,10,,
3351,"2ES","61","150","ES",3,11,,
3351,"2ES","61","150","ES",3,12,,
3351,"2ES","61","150","ES",5,10,,
3351,"2ES","61","150","ES",5,11,,
3351,"2ES","65","150","ES",2,7,,
3351,"2ES","65","150","ES",2,8,,
3351,"2ES","65","150","ES",2,9,,
3351,"2ES","65","150","ES",3,10,,
3351,"2ES","65","150","ES",3,11,,
3351,"2ES","65","150","ES",3,12,,
3351,"2ES","65","150","ES",5,10,,
3351,"2ES","65","150","ES",5,11,,
3352,"2ES","61","150","ES",5,7,,
3354,"2ES","61","150","E2",5,8,,
3355,"2ES","63","152","ES",2,12,,
3355,"2ES","63","152","ES",4,11,,
3356,"2ES","67","154","33",3,8,,
3358,"2ES","65","154","19",4,12,,
3360,"1LCB","67","621","11",2,4,,
3360,"1LCB","66","621","19",2,4,,
3359,"1LCB","67","621","11",1,1,,
3359,"1LCB","67","621","11",1,2,,
3359,"1LCB","67","621","11",1,6,,
3359,"1LCB","67","621","11",5,1,,
3359,"1LCB","67","621","11",5,2,,
3359,"1LCB","64","621","13",1,1,,
3359,"1LCB","64","621","13",1,2,,
3359,"1LCB","64","621","13",1,6,,
3359,"1LCB","64","621","13",5,1,,
3359,"1LCB","64","621","13",5,2,,
3361,"1LCB","67","622","13",1,3,,
3361,"1LCB","67","622","13",1,4,,
3361,"1LCB","67","622","13",2,5,,
3361,"1LCB","67","622","13",2,6,,
3361,"1LCB","67","622","13",4,4,,
3361,"1LCB","67","622","13",4,5,,
3361,"1LCB","66","622","11",1,3,,
3361,"1LCB","66","622","11",1,4,,
3361,"1LCB","66","622","11",2,5,,
3361,"1LCB","66","622","11",2,6,,
3361,"1LCB","66","622","11",4,4,,
3361,"1LCB","66","622","11",4,5,,
3362,"1LCB","70","626","13",2,1,,
3362,"1LCB","70","626","13",2,2,,
3362,"1LCB","70","626","13",4,1,,
3362,"1LCB","70","626","16",5,4,,
3362,"1LCB","70","626","16",5,5,,
3362,"1LCB","69","626","11",2,1,,
3362,"1LCB","69","626","11",2,2,,
3362,"1LCB","69","626","11",4,1,,
3362,"1LCB","69","626","11",5,4,,
3362,"1LCB","69","626","11",5,5,,
3363,"1LCB","70","627","13",1,5,,
3363,"1LCB","70","627","13",4,2,,
3363,"1LCB","70","627","13",4,3,,
3363,"1LCB","69","627","11",1,5,,
3363,"1LCB","69","627","11",4,2,,
3363,"1LCB","69","627","11",4,3,,
3364,"1LCB","64","628","26",3,4,,
3364,"1LCB","64","628","26",5,3,,
3365,"1LCB","66","628","26",2,3,,
3365,"1LCB","66","628","26",3,1,,
3365,"1LCB","66","628","26",3,2,,
3365,"1LCB","66","628","26",3,3,,
3367,"2LCB","71","637","19",3,10,,
3367,"2LCB","71","637","19",3,11,,
3367,"2LCB","78","637","11",3,10,,
3367,"2LCB","78","637","11",3,11,,
3366,"2LCB","71","637","13",2,8,,
3366,"2LCB","71","637","13",2,9,,
3366,"2LCB","78","637","11",2,8,,
3366,"2LCB","78","637","11",2,9,,
3368,"2LCB","65","638","13",1,9,,
3368,"2LCB","65","638","13",1,10,,
3368,"2LCB","65","638","13",4,10,,
3368,"2LCB","65","638","13",4,11,,
3368,"2LCB","65","638","13",5,7,,
3368,"2LCB","65","638","13",5,8,,
3368,"2LCB","68","638","11",1,9,,
3368,"2LCB","68","638","11",1,10,,
3368,"2LCB","68","638","11",4,10,,
3368,"2LCB","68","638","11",4,11,,
3368,"2LCB","68","638","11",5,7,,
3368,"2LCB","68","638","11",5,8,,
3369,"2LCB","72","639","11",1,7,,
3369,"2LCB","72","639","11",1,8,,
3369,"2LCB","72","639","11",3,8,,
3369,"2LCB","72","639","11",3,9,,
3369,"2LCB","71","639","13",1,7,,
3369,"2LCB","71","639","13",1,8,,
3369,"2LCB","71","639","13",3,8,,
3369,"2LCB","71","639","13",3,9,,
3370,"2LCB","72","639","11",2,11,,
3370,"2LCB","71","639","34",2,11,,
3371,"2LCB","78","642","B1",4,8,,
3371,"2LCB","78","642","B1",4,9,,
3372,"1DIE","60","183","19",1,5,,
3373,"1DIE","60","183","E6",3,1,,
3374,"1DIE","79","185","E6",1,1,,
3374,"1DIE","79","185","E6",1,2,,
3374,"1DIE","79","185","E6",1,3,,
3374,"1DIE","79","185","E6",4,4,,
3374,"1DIE","79","185","E8",5,3,,
3375,"1DIE","79","185","19",2,1,,
3375,"1DIE","79","185","19",2,2,,
3375,"1DIE","79","185","19",2,3,,
3376,"1DIE","62","189","E6",4,5,,
3376,"1DIE","62","189","E6",4,6,,
3376,"1DIE","62","189","E6",5,1,,
3376,"1DIE","62","189","E6",5,2,,
3377,"1DIE","62","189","19",4,1,,
3377,"1DIE","62","189","19",4,2,,
3377,"1DIE","62","189","19",4,3,,
3378,"2DIE","62","191","19",1,9,,
3378,"2DIE","62","191","19",1,10,,
3378,"2DIE","62","191","19",2,7,,
3378,"2DIE","62","191","19",2,8,,
3378,"2DIE","62","191","19",2,9,,
3379,"2DIE","62","191","26",1,11,,
3379,"2DIE","62","191","26",3,10,,
3380,"2DIE","109","192","11",4,7,,
3380,"2DIE","109","192","11",4,8,,
3380,"2DIE","109","192","11",4,9,,
3381,"2DIE","109","192","19",5,7,,
3381,"2DIE","109","192","19",5,8,,
3383,"2DIE","109","192","26",1,8,,
3384,"2DIE","63","194","E6",2,10,,
3384,"2DIE","63","194","E6",2,11,,
3386,"2DIE","63","194","E2",4,10,,
3389,"2DIE","62","196","19",3,9,,
3388,"2DIE","62","196","19",3,8,,
3388,"2DIE","76","196","19",3,8,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",1,2,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",1,3,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",1,7,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",1,8,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",1,9,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",1,10,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",1,11,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",1,12,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",2,2,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",2,3,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",2,4,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",2,8,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",2,9,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",2,10,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",2,11,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,2,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,3,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,4,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,5,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,7,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,8,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,9,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,11,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",3,12,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",4,2,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",4,3,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",4,4,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",4,5,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",4,9,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",4,10,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",4,11,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",4,12,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",5,2,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",5,3,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",5,4,,
3390,"ADU-E1","Prof-A1","ADULTS","E1",5,5,,
3583,"ADU-E4","Prof. E4","ADULTS","TS",3,3,,
3583,"ADU-E4","Prof. E4","ADULTS","TS",3,4,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",1,4,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",1,5,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",1,8,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",1,9,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",1,10,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",1,11,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",2,2,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",2,3,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",2,4,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",2,5,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",3,7,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",3,8,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",3,9,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",3,10,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",3,11,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",4,2,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",4,3,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",4,7,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",4,8,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",4,9,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",4,10,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",4,11,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",5,2,,
3391,"ADU-E4","Prof. E4","ADULTS","E4",5,3,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",1,8,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",1,9,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",1,10,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",1,11,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",1,12,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",3,8,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",3,9,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",3,10,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",3,11,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",4,8,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",4,9,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",4,10,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",4,11,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",5,2,,
3392,"ADU-E5","Prof. E5","ADULTS","E5",5,3,,
3393,"ADU-E6","Prof. E6","ADULTS","E6",1,7,,
3393,"ADU-E6","Prof. E6","ADULTS","E6",1,8,,
3393,"ADU-E6","Prof. E6","ADULTS","E6",1,9,,
3393,"ADU-E6","Prof. E6","ADULTS","E6",1,10,,
