clase,grupo,profesor,materia,aula,dia,hora,duracion
3150,"1SMX C","05","84","20.2",2,1,,
3076,"1SMX A","05","84","20.2",1,6,,
3076,"1SMX A","05","84","20.2",3,3,,
3076,"1SMX B","05","84","20.2",1,6,,
3076,"1SMX B","05","84","20.2",3,3,,
3076,"1SMX C","05","84","20.2",1,6,,
3076,"1SMX C","05","84","20.2",3,3,,
3076,"1SMX A","10","55","20.4",1,6,,
3076,"1SMX A","10","55","20.4",3,3,,
3076,"1SMX B","10","55","20.4",1,6,,
3076,"1SMX B","10","55","20.4",3,3,,
3076,"1SMX C","10","55","20.4",1,6,,
3076,"1SMX C","10","55","20.4",3,3,,
3077,"1SMX A","10","55","28",4,1,,
3077,"1SMX B","10","55","28",4,1,,
3077,"1SMX C","10","55","28",4,1,,
3077,"1SMX A","05","84","20.2",4,1,,
3077,"1SMX B","05","84","20.2",4,1,,
3077,"1SMX C","05","84","20.2",4,1,,
3078,"1MAP","05","555","34",1,3,,
3078,"1MAP","05","555","34",2,5,,
3132,"1AF","11","34","31",4,2,,
3132,"1ADI","11","591","31",4,2,,
3079,"1AF","06","48","31",1,5,,
3079,"1AF","06","48","31",1,6,,
3079,"1AF","06","48","31",4,3,,
3079,"1AF","06","48","31",5,6,,
3080,"1ADI","06","586","30",1,1,,
3080,"1ADI","06","586","30",2,1,,
3080,"1ADI","06","586","30",4,5,,
3080,"1ADI","06","586","30",4,6,,
3081,"1MAP","06","555","34",4,4,,
3081,"1MAP","06","555","26",5,4,,
3134,"2APD A","11","536","19",1,7,,
3134,"2APD A","11","536","19",1,8,,
3083,"2APD A","07","539","34",2,7,,
3083,"2APD A","07","539","22",4,10,,
3135,"2APD B","11","536","B1",1,10,,
3135,"2APD B","11","536","B1",1,11,,
3133,"2APD B","87","539","33",1,7,,
3133,"2APD B","87","539","33",1,8,,
3082,"2APD A","07","539","34",2,8,,
3082,"2APD B","07","539","34",2,8,,
3084,"2ES","07","63","ES",3,9,,
3084,"2ES","07","63","ES",4,7,,
3084,"2ES","07","63","19",5,9,,
3588,"2FAR","13","83","B1",2,9,,
3139,"2FAR","13","83","26",2,8,,
3138,"2FAR","13","30","14",3,8,,
3138,"2FAR","13","30","14",3,9,,
3085,"2FAR","07","64","14",2,11,,
3085,"2FAR","07","64","14",5,7,,
3085,"2FAR","07","64","14",5,8,,
3087,"2ADI","07","580","30",2,9,,
3087,"2ADI","07","580","34",4,9,,
3097,"2MAP","24","557","35",2,7,,
3097,"2MAP","24","557","35",2,10,,
3097,"2MAP","24","557","35",2,11,,
3096,"2MAP","105","554","30",4,7,,
3096,"2MAP","105","554","30",4,8,,
3095,"2MAP","105","554","35",1,8,,
3095,"2MAP","105","554","35",2,8,,
3095,"2MAP","105","554","35",3,8,,
3094,"2MAP","105","552","35",1,11,,
3094,"2MAP","105","552","35",3,9,,
3094,"2MAP","105","552","35",3,10,,
3093,"2MAP","106","550","30",4,9,,
3093,"2MAP","106","550","30",4,10,,
3092,"2MAP","106","550","35",5,8,,
3092,"2MAP","106","550","35",5,9,,
3092,"2MAP","106","550","35",5,10,,
3091,"2MAP","107","549","35",2,9,,
3091,"2MAP","107","549","35",5,7,,
3090,"2MAP","26","546","30",4,11,,
3089,"2MAP","26","546","35",1,7,,
3088,"2MAP","105","546","35",1,9,,
3088,"2MAP","105","546","35",1,10,,
3100,"2LCB","09","641","19",1,11,,
3099,"2LCB","09","641","16",2,10,,
3098,"2LCB","09","640","17",2,7,,
3098,"2LCB","09","640","17",4,7,,
3098,"2LCB","09","640","17",5,9,,
3101,"1INS B","09","527","E9",3,8,,
3101,"1INS B","09","527","E9",3,9,,
3101,"1INS B","09","527","E9",3,10,,
3103,"CAIC","09","19","12",4,9,,
3103,"CAIC","09","19","12",4,10,,
3102,"CAIC","09","15","12",5,10,,
